CustomerID	TotalSpend	Frequency	Recency
12346	0.0	2	5099
12347	4299.8	181	4776
12348	1797.2	31	4849
12349	1757.5	73	4792
12350	334.4	17	5084
12352	1545.4	95	4810
12353	89.0	4	4978
12354	1079.4	58	5006
12355	459.4	13	4988
12356	2811.4	59	4796
12357	6101.1	126	4807
12358	1168.1	19	4775
12359	6228.7	252	4781
12360	2657.0	128	4826
12361	189.9	10	5061
12362	5154.6	274	4777
12363	552.0	23	4883
12364	1308.1	84	4781
12365	320.7	23	5065
12367	168.9	11	4778
12370	3412.2	163	4825
12371	1888.0	63	4818
12372	1298.0	52	4845
12373	364.6	14	5085
12374	742.9	33	4799
12375	455.4	18	4776
12377	1623.1	76	5089
12378	3957.6	218	4903
12379	850.3	41	4855
12380	2720.6	105	4795
12381	1782.5	89	4778
12383	1760.9	98	4958
12384	566.2	30	4802
12386	401.9	10	5111
12388	2780.7	100	4789
12390	549.8	32	4853
12391	456.2	99	4795
12393	1572.4	63	4846
12394	1272.5	27	4837
12395	2998.3	159	4789
12397	2409.9	126	4809
12398	1635.7	85	4819
12399	1108.6	59	4893
12401	84.3	5	5077
12402	225.6	11	5097
12403	409.7	6	4823
12405	1710.4	54	4922
12406	3280.8	108	4796
12407	1708.1	77	4823
12408	2832.4	112	4806
12409	11056.9	114	4852
12410	681.1	28	5075
12412	1217.5	60	4848
12413	694.1	40	4840
12414	562.4	18	4991
12415	121993.6	773	4798
12417	3578.8	198	4777
12418	668.6	34	4886
12420	600.4	29	4837
12421	806.3	46	4789
12422	803.6	39	4869
12423	1849.1	126	4774
12424	1761.0	30	4936
12425	777.2	36	4852
12426	582.7	30	4968
12427	708.4	35	4785
12428	7814.7	294	4799
12429	3656.8	94	4783
12430	256.4	11	4817
12431	6411.3	239	4809
12432	5059.3	108	4816
12433	13161.8	416	4774
12434	765.2	54	4858
12435	7829.9	36	4853
12436	509.0	16	4873
12437	4896.7	201	4775
12438	2906.9	98	4788
12441	173.6	11	5140
12442	172.1	12	4777
12444	4985.7	176	4795
12445	133.4	4	4796
12446	1002.3	58	4831
12447	476.5	26	5017
12448	449.5	22	4818
12449	4007.9	188	4796
12450	197.9	8	4930
12451	8915.0	353	4784
12452	428.6	23	4790
12453	707.1	43	4908
12454	-0.0	30	4827
12455	2466.9	90	4847
12456	3153.9	129	4818
12457	1912.7	67	4832
12458	947.4	38	4845
12461	826.9	35	4868
12462	1124.0	72	4776
12463	1303.6	88	4820
12464	1212.0	29	4784
12465	728.9	50	4781
12468	724.0	40	4917
12471	18740.9	531	4776
12472	6213.3	387	4804
12473	2843.7	178	4803
12474	7114.2	456	4791
12475	723.4	36	4827
12476	6531.5	262	4775
12477	12712.0	306	4796
12478	681.0	36	4777
12479	457.5	34	4777
12480	3281.6	154	4802
12481	5590.9	218	4796
12483	2327.1	81	4791
12484	4446.0	342	4806
12488	1298.7	55	4783
12489	334.9	15	5110
12490	5417.9	245	4779
12491	460.4	26	4812
12492	263.2	20	4837
12493	416.8	23	4939
12494	1126.8	83	4783
12497	1043.1	14	4855
12498	403.7	23	4795
12500	4206.3	65	4797
12501	2074.2	157	5089
12502	3691.3	145	4869
12503	-1126.0	1	5111
12504	114.0	15	4792
12505	-4.5	1	5075
12506	73.5	23	5006
12507	1258.1	23	4908
12508	398.3	69	4800
12509	176.5	7	5058
12510	982.6	33	4916
12512	138.0	34	4840
12513	586.8	36	4858
12514	1017.7	51	5041
12515	383.7	16	5127
12516	1312.1	26	4851
12517	2458.1	285	4802
12518	2051.9	123	4774
12519	340.8	18	4837
12520	2499.0	147	4853
12521	599.7	38	4916
12522	192.7	12	4813
12523	1745.6	110	4775
12524	4485.7	144	4783
12526	1316.7	71	4774
12527	348.7	18	4855
12528	1922.3	95	4783
12530	1618.6	67	4833
12531	125.2	17	4788
12532	349.8	16	4804
12534	1089.2	63	4904
12535	716.4	34	4865
12536	4106.8	273	4781
12538	364.0	21	4803
12539	3852.5	274	4796
12540	13273.3	477	4793
12541	981.2	52	4803
12544	355.7	20	4803
12545	1000.4	50	4849
12546	1141.5	70	4820
12547	207.8	8	4971
12548	95.2	5	4940
12550	964.8	57	4853
12551	168.0	10	5131
12552	418.0	19	4812
12553	3613.1	192	4782
12556	594.3	119	4824
12557	11991.0	33	4790
12558	0.0	22	4775
12559	536.2	22	5084
12560	2101.4	111	4779
12561	238.8	16	5076
12562	3781.7	168	4782
12564	456.9	21	5035
12565	131.2	10	5055
12566	346.7	20	4846
12567	9105.0	462	4796
12569	4025.4	189	4776
12571	519.6	34	4813
12572	1004.7	62	4782
12573	155.5	27	5001
12574	218.5	11	5089
12576	1287.2	88	4809
12577	594.1	146	4809
12578	2753.4	120	4795
12579	410.7	31	4847
12580	415.7	24	5020
12581	197.7	15	4813
12582	511.4	22	5012
12583	7187.3	251	4776
12584	1834.6	123	4777
12585	1982.8	97	5008
12586	179.9	12	4791
12587	144.0	4	4781
12588	214.9	10	4813
12589	636.7	34	4802
12590	9861.4	70	4964
